Job Title,Field,Location,Description,Email
Green IT Consultant,Sustainable Energy,"Lisbon, Portugal","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Lisbon, Portugal. Skills Required: Java, Energy Modeling, Machine Learning, C++, R. Preferred Qualifications: Cloud sustainability knowledge, Carbon-aware computing expertise.",info@ecosolutions837.com
Green IT Consultant,Sustainable Energy,"Budapest, Hungary","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Budapest, Hungary. Skills Required: Carbon Accounting, Cloud Infrastructure, ESG Frameworks, Power Electronics, ISO 50001. Preferred Qualifications: M.S. or Ph.D. in relevant field, CEM Certification.",info@bioinnovate146.com
Energy Efficiency Data Analyst,Information Technology,"Berlin, Germany","Responsibilities: Analyze and optimize energy usage using data science tools in Berlin, Germany. Skills Required: Python, Smart Grid Technology, ESG Frameworks, LCA, LEED. Preferred Qualifications: LEED Certification, Experience with green computing.",info@renewablelogic643688687.com
AI for Energy Optimization Engineer,Data Science,"Munich, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Munich, Germany. Skills Required: ISO 50001, IoT, ESG Frameworks, Power Electronics, LCA. Preferred Qualifications: Experience in smart city projects, CEM Certification.",info@cleanenergycorp.com
Sustainable Systems Engineer,Sustainable Energy,"Athens, Greece","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Athens, Greece. Skills Required: Carbon Accounting, IoT, C++, LCA, LEED. Preferred Qualifications: Experience with green computing, Cloud sustainability knowledge.",info@enerpure844255380.com
IoT Sustainability Specialist,Computer Science,"Barcelona, Spain","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Barcelona, Spain. Skills Required: IoT, Power Electronics, Energy Modeling, Cloud Infrastructure, Machine Learning. Preferred Qualifications: LEED Certification, M.S. or Ph.D. in relevant field.",info@renewablelogic643688687386.com
Carbon Footprint Data Scientist,Computer Science,"Helsinki, Finland","Responsibilities: Analyze and optimize energy usage using data science tools in Helsinki, Finland. Skills Required: Smart Grid Technology, SQL, Carbon Accounting, Cloud Infrastructure, Power Electronics. Preferred Qualifications: Carbon-aware computing expertise, Cloud sustainability knowledge.",info@renewablelogic643220282.com
Renewable Systems Integration Analyst,Electrical Engineering,"Madrid, Spain","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Madrid, Spain. Skills Required: Machine Learning, Energy Modeling, LEED, MATLAB, C++. Preferred Qualifications: LEED Certification, Cloud sustainability knowledge.",info@ecosolutions304359.com
Green IT Consultant,Computer Science,"Athens, Greece","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Athens, Greece. Skills Required: Smart Grid Technology, Machine Learning, Carbon Accounting, Python, Energy Modeling. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@terranova654356.com
IoT Sustainability Specialist,Environmental Engineering,"Budapest, Hungary","Responsibilities: Design and implement energy-efficient Environmental Engineering solutions in Budapest, Hungary. Skills Required: Smart Grid Technology, SQL, R, Power Electronics, ISO 50001. Preferred Qualifications: Knowledge of renewable energy systems, Cloud sustainability knowledge.",info@enerpure701838.com
IoT Sustainability Specialist,Computer Science,"Madrid, Spain","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Madrid, Spain. Skills Required: Power Electronics, Cloud Infrastructure, LCA, Machine Learning, C++. Preferred Qualifications: Experience with green computing, Knowledge of renewable energy systems.",info@greenleap555375804.com
IoT Sustainability Specialist,Computer Science,"Milan, Italy","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Milan, Italy. Skills Required: Embedded Systems, LCA, Python, Smart Grid Technology, Cloud Infrastructure. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@renewablelogic300.com
Carbon Footprint Data Scientist,Computer Science,"Oslo, Norway","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Oslo, Norway. Skills Required: LCA, MATLAB, ESG Frameworks, Carbon Accounting, Power Electronics. Preferred Qualifications: CEM Certification, Knowledge of renewable energy systems.",info@ecosolutions30478896503.com
Energy Efficiency Data Analyst,Environmental Engineering,"Lisbon, Portugal","Responsibilities: Analyze and optimize energy usage using data science tools in Lisbon, Portugal. Skills Required: Power Electronics, SQL, Smart Grid Technology, MATLAB, Java. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@bioinnovate519.com
Smart Grid Engineer,Information Technology,"Dublin, Ireland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Dublin, Ireland. Skills Required: Machine Learning, Power Electronics, Cloud Infrastructure, Python, Smart Grid Technology. Preferred Qualifications: LEED Certification, Cloud sustainability knowledge.",info@cleanenergycorp731466946.com
Smart Grid Engineer,Information Technology,"Barcelona, Spain","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Barcelona, Spain. Skills Required: Cloud Infrastructure, R, Carbon Accounting, SQL, Java. Preferred Qualifications: Cloud sustainability knowledge, Experience with green computing.",info@ecovision.com
IoT Sustainability Specialist,Environmental Engineering,"Athens, Greece","Responsibilities: Analyze and optimize energy usage using data science tools in Athens, Greece. Skills Required: ISO 50001, IoT, LCA, Energy Modeling, MATLAB. Preferred Qualifications: CEM Certification, Experience with green computing.",info@enerpure844.com
Green Cloud Architect,Sustainable Energy,"Oslo, Norway","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Oslo, Norway. Skills Required: LEED, SQL, MATLAB, Embedded Systems, ESG Frameworks. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@greenleap555176.com
Green IT Consultant,Computer Science,"Prague, Czech Republic","Responsibilities: Analyze and optimize energy usage using data science tools in Prague, Czech Republic. Skills Required: ISO 50001, MATLAB, IoT, Smart Grid Technology, C++. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@enerpure225187.com
Sustainable Systems Engineer,Environmental Engineering,"Prague, Czech Republic","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Prague, Czech Republic. Skills Required: Embedded Systems, Smart Grid Technology, Java, ISO 50001, IoT. Preferred Qualifications: Experience with green computing, M.S. or Ph.D. in relevant field.",info@ecogenix545507119.com
IoT Sustainability Specialist,Electrical Engineering,"Paris, France","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Paris, France. Skills Required: Energy Modeling, Python, Carbon Accounting, IoT, C++. Preferred Qualifications: Experience in smart city projects, Carbon-aware computing expertise.",info@ecostrive317.com
Sustainable Systems Engineer,Environmental Engineering,"Milan, Italy","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Milan, Italy. Skills Required: Energy Modeling, IoT, Python, Power Electronics, ESG Frameworks. Preferred Qualifications: Experience in smart city projects, Carbon-aware computing expertise.",info@enerpure701832356.com
Smart Grid Engineer,Information Technology,"Brussels, Belgium","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Brussels, Belgium. Skills Required: Java, IoT, Power Electronics, SQL, R. Preferred Qualifications: Experience with green computing, Cloud sustainability knowledge.",info@enerpure701832585.com
Energy Efficiency Data Analyst,Information Technology,"Paris, France","Responsibilities: Design and implement energy-efficient Information Technology solutions in Paris, France. Skills Required: LCA, Cloud Infrastructure, C++, Embedded Systems, LEED. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@ecovision2576136296357.com
Energy Efficiency Data Analyst,Computer Science,"Zurich, Switzerland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Zurich, Switzerland. Skills Required: Smart Grid Technology, Carbon Accounting, SQL, Java, Power Electronics. Preferred Qualifications: LEED Certification, Experience with green computing.",info@ecogenix892.com
Renewable Systems Integration Analyst,Computer Science,"Vienna, Austria","Responsibilities: Design and implement energy-efficient Computer Science solutions in Vienna, Austria. Skills Required: C++, Power Electronics, IoT, SQL, R. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@ecosolutions590128230.com
Sustainable Systems Engineer,Information Technology,"Barcelona, Spain","Responsibilities: Analyze and optimize energy usage using data science tools in Barcelona, Spain. Skills Required: Smart Grid Technology, LEED, R, LCA, Carbon Accounting. Preferred Qualifications: LEED Certification, Experience in smart city projects.",info@ecosolutions304201.com
Green IT Consultant,Data Science,"Paris, France","Responsibilities: Design and implement energy-efficient Data Science solutions in Paris, France. Skills Required: ISO 50001, Embedded Systems, MATLAB, R, Energy Modeling. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@terranova.com
Eco-Friendly Software Developer,Computer Science,"Warsaw, Poland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Warsaw, Poland. Skills Required: MATLAB, C++, LCA, Power Electronics, Machine Learning. Preferred Qualifications: M.S. or Ph.D. in relevant field, Knowledge of renewable energy systems.",info@terranova88389.com
Carbon Footprint Data Scientist,Sustainable Energy,"Munich, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Munich, Germany. Skills Required: LCA, Energy Modeling, Embedded Systems, C++, LEED. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@renewablelogic643887507286.com
Sustainable Systems Engineer,Information Technology,"Copenhagen, Denmark","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Copenhagen, Denmark. Skills Required: Machine Learning, LCA, Carbon Accounting, C++, Smart Grid Technology. Preferred Qualifications: Carbon-aware computing expertise, Cloud sustainability knowledge.",info@ecosolutions84025.com
Smart Grid Engineer,Information Technology,"Madrid, Spain","Responsibilities: Analyze and optimize energy usage using data science tools in Madrid, Spain. Skills Required: ISO 50001, Machine Learning, SQL, Java, ESG Frameworks. Preferred Qualifications: CEM Certification, Experience in smart city projects.",info@ecovision25761.com
Eco-Friendly Software Developer,Environmental Engineering,"Budapest, Hungary","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Budapest, Hungary. Skills Required: Cloud Infrastructure, Embedded Systems, Machine Learning, ISO 50001, R. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@ecosolutions30478896.com
Eco-Friendly Software Developer,Computer Science,"Milan, Italy","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Milan, Italy. Skills Required: MATLAB, Carbon Accounting, Power Electronics, ESG Frameworks, Java. Preferred Qualifications: M.S. or Ph.D. in relevant field, LEED Certification.",info@ecovision25761362.com
Green IT Consultant,Information Technology,"Athens, Greece","Responsibilities: Analyze and optimize energy usage using data science tools in Athens, Greece. Skills Required: ESG Frameworks, Embedded Systems, Machine Learning, Energy Modeling, SQL. Preferred Qualifications: Carbon-aware computing expertise, CEM Certification.",info@ecogenix892354.com
Renewable Systems Integration Analyst,Computer Science,"Vienna, Austria","Responsibilities: Analyze and optimize energy usage using data science tools in Vienna, Austria. Skills Required: Embedded Systems, ISO 50001, IoT, LCA, SQL. Preferred Qualifications: Experience in smart city projects, Experience with green computing.",info@enerpure.com
Green IT Consultant,Environmental Engineering,"Dublin, Ireland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Dublin, Ireland. Skills Required: Embedded Systems, Carbon Accounting, Machine Learning, LCA, SQL. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@renewablelogic643887507.com
Renewable Systems Integration Analyst,Environmental Engineering,"Madrid, Spain","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Madrid, Spain. Skills Required: IoT, MATLAB, Machine Learning, Carbon Accounting, C++. Preferred Qualifications: Experience in smart city projects, Knowledge of renewable energy systems.",info@carbonnet414138710.com
Energy Efficiency Data Analyst,Information Technology,"Helsinki, Finland","Responsibilities: Analyze and optimize energy usage using data science tools in Helsinki, Finland. Skills Required: MATLAB, LEED, Energy Modeling, R, Smart Grid Technology. Preferred Qualifications: Cloud sustainability knowledge, M.S. or Ph.D. in relevant field.",info@ecosolutions30478896173.com
Green IT Consultant,Data Science,"Lisbon, Portugal","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Lisbon, Portugal. Skills Required: Power Electronics, ESG Frameworks, Carbon Accounting, Machine Learning, SQL. Preferred Qualifications: CEM Certification, Cloud sustainability knowledge.",info@greengrid406.com
Carbon Footprint Data Scientist,Environmental Engineering,"Munich, Germany","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Munich, Germany. Skills Required: MATLAB, Java, Machine Learning, C++, LEED. Preferred Qualifications: Carbon-aware computing expertise, LEED Certification.",info@enerpure225.com
AI for Energy Optimization Engineer,Sustainable Energy,"Stockholm, Sweden","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Stockholm, Sweden. Skills Required: IoT, Smart Grid Technology, MATLAB, Power Electronics, Carbon Accounting. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@renewablelogic643.com
Smart Grid Engineer,Electrical Engineering,"Lisbon, Portugal","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Lisbon, Portugal. Skills Required: Java, Python, SQL, LCA, Cloud Infrastructure. Preferred Qualifications: Carbon-aware computing expertise, Cloud sustainability knowledge.",info@renewablelogic643220219254965.com
Carbon Footprint Data Scientist,Environmental Engineering,"Dublin, Ireland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Dublin, Ireland. Skills Required: Embedded Systems, Energy Modeling, IoT, Carbon Accounting, Machine Learning. Preferred Qualifications: Experience in smart city projects, Experience with green computing.",info@bioinnovate.com
Eco-Friendly Software Developer,Environmental Engineering,"Munich, Germany","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Munich, Germany. Skills Required: Carbon Accounting, Machine Learning, ESG Frameworks, Smart Grid Technology, R. Preferred Qualifications: CEM Certification, Knowledge of renewable energy systems.",info@greengrid74548278.com
IoT Sustainability Specialist,Environmental Engineering,"Zurich, Switzerland","Responsibilities: Design and implement energy-efficient Environmental Engineering solutions in Zurich, Switzerland. Skills Required: Cloud Infrastructure, Machine Learning, MATLAB, ESG Frameworks, Java. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@enerpure225187138.com
Sustainable Systems Engineer,Data Science,"Zurich, Switzerland","Responsibilities: Design and implement energy-efficient Data Science solutions in Zurich, Switzerland. Skills Required: LEED, Cloud Infrastructure, Machine Learning, Python, SQL. Preferred Qualifications: CEM Certification, Knowledge of renewable energy systems.",info@ecosolutions59024.com
Sustainable Systems Engineer,Environmental Engineering,"Barcelona, Spain","Responsibilities: Design and implement energy-efficient Environmental Engineering solutions in Barcelona, Spain. Skills Required: Energy Modeling, Machine Learning, LCA, ISO 50001, Java. Preferred Qualifications: Experience with green computing, Experience in smart city projects.",info@ecostrive132.com
Renewable Systems Integration Analyst,Data Science,"Zurich, Switzerland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Zurich, Switzerland. Skills Required: Embedded Systems, LEED, SQL, IoT, Smart Grid Technology. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@enerpure225187138716.com
AI for Energy Optimization Engineer,Computer Science,"Paris, France","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Paris, France. Skills Required: Carbon Accounting, ISO 50001, ESG Frameworks, R, Cloud Infrastructure. Preferred Qualifications: Carbon-aware computing expertise, Experience in smart city projects.",info@ecogenix545507119478246.com
IoT Sustainability Specialist,Sustainable Energy,"Dublin, Ireland","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Dublin, Ireland. Skills Required: LEED, Carbon Accounting, R, Energy Modeling, Power Electronics. Preferred Qualifications: Experience in smart city projects, Cloud sustainability knowledge.",info@windsphere281745771.com
Eco-Friendly Software Developer,Sustainable Energy,"Munich, Germany","Responsibilities: Design and implement energy-efficient Sustainable Energy solutions in Munich, Germany. Skills Required: Python, LEED, ISO 50001, LCA, R. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@renewablelogic.com
Energy Efficiency Data Analyst,Environmental Engineering,"Helsinki, Finland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Helsinki, Finland. Skills Required: LEED, ISO 50001, Java, C++, Power Electronics. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@bioinnovate918326745.com
Renewable Systems Integration Analyst,Electrical Engineering,"Prague, Czech Republic","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Prague, Czech Republic. Skills Required: MATLAB, LCA, Java, SQL, Smart Grid Technology. Preferred Qualifications: Carbon-aware computing expertise, Knowledge of renewable energy systems.",info@cleanenergycorp731466.com
Smart Grid Engineer,Sustainable Energy,"Lisbon, Portugal","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Lisbon, Portugal. Skills Required: C++, Power Electronics, Cloud Infrastructure, R, Java. Preferred Qualifications: LEED Certification, Cloud sustainability knowledge.",info@ecovision25761897.com
Smart Grid Engineer,Information Technology,"Helsinki, Finland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Helsinki, Finland. Skills Required: Energy Modeling, MATLAB, R, Smart Grid Technology, C++. Preferred Qualifications: Experience with green computing, Carbon-aware computing expertise.",info@bioinnovate918118.com
AI for Energy Optimization Engineer,Information Technology,"Zurich, Switzerland","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Zurich, Switzerland. Skills Required: Power Electronics, Energy Modeling, Python, Carbon Accounting, R. Preferred Qualifications: M.S. or Ph.D. in relevant field, Experience with green computing.",info@enerpure701832.com
Renewable Systems Integration Analyst,Environmental Engineering,"Brussels, Belgium","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Brussels, Belgium. Skills Required: Machine Learning, Cloud Infrastructure, MATLAB, IoT, Energy Modeling. Preferred Qualifications: Cloud sustainability knowledge, Experience in smart city projects.",info@solarworks.com
Eco-Friendly Software Developer,Environmental Engineering,"Barcelona, Spain","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Barcelona, Spain. Skills Required: Python, LEED, IoT, C++, Embedded Systems. Preferred Qualifications: Cloud sustainability knowledge, Carbon-aware computing expertise.",info@verdanttech575.com
IoT Sustainability Specialist,Electrical Engineering,"Paris, France","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Paris, France. Skills Required: Carbon Accounting, Power Electronics, Java, IoT, LEED. Preferred Qualifications: LEED Certification, Carbon-aware computing expertise.",info@enerpure701832140.com
Energy Efficiency Data Analyst,Data Science,"Copenhagen, Denmark","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Copenhagen, Denmark. Skills Required: SQL, Carbon Accounting, MATLAB, C++, Cloud Infrastructure. Preferred Qualifications: Cloud sustainability knowledge, LEED Certification.",info@greenleap826.com
Green Cloud Architect,Electrical Engineering,"Helsinki, Finland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Helsinki, Finland. Skills Required: C++, LCA, Cloud Infrastructure, R, IoT. Preferred Qualifications: Experience with green computing, LEED Certification.",info@carbonnet41413830713.com
IoT Sustainability Specialist,Computer Science,"Dublin, Ireland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Dublin, Ireland. Skills Required: Carbon Accounting, C++, LEED, LCA, Embedded Systems. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@ecovision2576147446.com
Green Cloud Architect,Data Science,"Zurich, Switzerland","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Zurich, Switzerland. Skills Required: ISO 50001, Energy Modeling, LEED, Python, Smart Grid Technology. Preferred Qualifications: Knowledge of renewable energy systems, Experience with green computing.",info@windsphere.com
Energy Efficiency Data Analyst,Environmental Engineering,"Milan, Italy","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Milan, Italy. Skills Required: SQL, Carbon Accounting, Smart Grid Technology, Power Electronics, Cloud Infrastructure. Preferred Qualifications: M.S. or Ph.D. in relevant field, LEED Certification.",info@greenleap555375.com
Eco-Friendly Software Developer,Information Technology,"Helsinki, Finland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Helsinki, Finland. Skills Required: Machine Learning, Carbon Accounting, LEED, Energy Modeling, LCA. Preferred Qualifications: Cloud sustainability knowledge, CEM Certification.",info@greengrid745482273.com
Carbon Footprint Data Scientist,Environmental Engineering,"Brussels, Belgium","Responsibilities: Analyze and optimize energy usage using data science tools in Brussels, Belgium. Skills Required: Smart Grid Technology, C++, Java, SQL, ISO 50001. Preferred Qualifications: Knowledge of renewable energy systems, M.S. or Ph.D. in relevant field.",info@cleanvolt30.com
AI for Energy Optimization Engineer,Environmental Engineering,"Zurich, Switzerland","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Zurich, Switzerland. Skills Required: MATLAB, Power Electronics, Energy Modeling, IoT, LCA. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@ecosolutions840.com
Energy Efficiency Data Analyst,Environmental Engineering,"Berlin, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Berlin, Germany. Skills Required: Machine Learning, Power Electronics, IoT, ESG Frameworks, Smart Grid Technology. Preferred Qualifications: Experience with green computing, Cloud sustainability knowledge.",info@ecosolutions304.com
IoT Sustainability Specialist,Sustainable Energy,"Madrid, Spain","Responsibilities: Develop green algorithms and smart applications for sustainable systems in Madrid, Spain. Skills Required: SQL, Energy Modeling, Embedded Systems, ESG Frameworks, Machine Learning. Preferred Qualifications: Experience with green computing, LEED Certification.",info@sustainovate313783.com
Sustainable Systems Engineer,Electrical Engineering,"Milan, Italy","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Milan, Italy. Skills Required: Smart Grid Technology, Cloud Infrastructure, ISO 50001, Python, ESG Frameworks. Preferred Qualifications: Experience in smart city projects, LEED Certification.",info@renewablelogic643121.com
Renewable Systems Integration Analyst,Environmental Engineering,"Berlin, Germany","Responsibilities: Collaborate on carbon reduction strategies and lifecycle analysis projects based in Berlin, Germany. Skills Required: LEED, C++, ESG Frameworks, Power Electronics, SQL. Preferred Qualifications: LEED Certification, Carbon-aware computing expertise.",info@ecogenix545495.com
IoT Sustainability Specialist,Environmental Engineering,"Brussels, Belgium","Responsibilities: Implement IoT and AI-driven energy solutions in smart buildings and cities around Brussels, Belgium. Skills Required: SQL, LEED, Python, Cloud Infrastructure, MATLAB. Preferred Qualifications: Knowledge of renewable energy systems, LEED Certification.",info@ecostrive.com
IoT Sustainability Specialist,Sustainable Energy,"Helsinki, Finland","Responsibilities: Analyze and optimize energy usage using data science tools in Helsinki, Finland. Skills Required: Smart Grid Technology, LEED, R, LCA, Energy Modeling. Preferred Qualifications: Carbon-aware computing expertise, M.S. or Ph.D. in relevant field.",info@carbonnet41413830.com
