Index,Title,Description,University,Course Cycle
25,Neural Networks and Intelligent Systems,"Neural networks and other approaches from the broader area of computational intelligence. Neural network models and architectures, dynamics, convergence and stability, learning algorithms, implementation issues and applications. Feedforward neural networks and error-correction learning (multilayer perceptrons and the backpropagation algorithm). Associative networks (Hopfield model). Recurrent multilayer networks. Receptive fields and local learning (Radial basis function networks). Competitive learning (Kohonen maps, ART models). Other computational intelligence methodologies, fuzzy systems, evolutionary computation (genetic algorithms), hybrid approaches. Intelligent system applications (classification and clustering, intelligent agents, information retrieval, human-computer interaction). Laboratory exercises using advanced software tools for neural network simulation.",NTUA,Telecommunications
26,Digital Communications II,1)Introduction to Finite Bodies 2)Linear Block Codes 3)Circular Codes 4)Reed-Solomon coding 5)Convolutional Decoder Representation 6)The problem of convolutional decoding 7)Spread Spectrum Techniques,NTUA,Digital & Satellite Communication
27,Parallel Processing Systems,"Introduction to Parallel Processing. Shared memory and distributed memory architectures (SMP, COMA, NUMA, cc-NUMA, SMT, Clusters, MPPs). Methods, techniques and interconnection networks (Bus-oriented, Cube, Switch Network, Mixed systems). Clusters as supercomputers. Principles of parallel programming. Design and implementation of parallel programs. Parallelization and partitioning techniques. Parallel programming models: Message passing and shared address space. Synchronization and concurrent data structures. Laboratory exercises: Application development in clusters, multicore and manycore (accelerator) architectures with OpenMP, MPI, CUDA, Cilk and others. Performance analysis.",NTUA,Parallel Processing in Distributed Systems
28,Computer Graphics,"Geometric transformations: transport, scaling and homogeneous coordinates. Views: perspectives, parallel (right-lateral). Line drawing: line, circle, letter and character design algorithms. Clipping: lines, characters, polygons. Field fill: Polygon scanning priority. Shape Models: Third Class Polynomials. Polygon grids. Virtual reality: stereoscopy, removal of hidden surfaces (depth shredder), shading of visible surfaces, x-ray chromatography.",NTUA,Computer Interaction and Vision Theory
29,Databases,"Database Management Systems and their architecture. Data Structures for Databases. Modeling - The E-R model. Reference to classic Database Models (Hierarchical, Network). The Relational Model. Database Languages ​​- The SQL language. File Systems and Physical Database Design. Logical Design and Normalization. Management and Operation Issues (integrity, optimization, reorganization, security, functionality, etc.). Other Issues (Object Oriented Systems, Multi-Systems, Personal Computer Systems, etc.).",NTUA,Distributed Systems
141,Java 1: Fundamentals of OOP with Java,"Learn the fundamentals of Java with a focus on object-oriented principles like encapsulation, inheritance, and polymorphism. Emphasis is placed on writing efficient, reusable code to reduce resource overhead.",NTUA,Object Oriented Programming
30,Programming Languages I,"This course studies the theoretical basis of modern programming languages and main aspects of their design and implementation. Historical introduction to programming languages, design considerations, principles of lexical and syntax analysis, data types and their operations. Introduction to strongly typed functional programming languages using a suitable language (e.g., ML or Haskell). Type inference and polymorphism. Names and scopes. Activation records. Introduction to object-oriented programming languages using a suitable language (e.g. C++, Java or C#). Memory management. Exception handling. Parameters and parameter passing. Introduction to logic programming languages and their foundations using Prolog.",NTUA,Programming Languages & Web Technologies
31,Algorithms and Complexity,"Asymptotic estimation of computational complexity, criteria for algorithm selection, polynomial-time algorithms. Priority queues, binary heap, disjoint sets, union-find. Data processing (sorting, selection, search). Algorithm design techniques: divide-and-conquer, greedy, dynamic programming. Applications to graph problems: breadth first search, depth first search, minimum spanning tree, shortest paths, max flow and min cut. Computability and computational complexity. Complexity classes and reductions. The classes of P and NP, NP-completeness. Space complexity and classes. Lab: a set of algorithmic problems to be solved in C/C++.",NTUA,Advanced Algorithms & Computational Complexity
32,Artificial Intelligence,"The main topics covered in this course include: problem solving, search algorithms, heuristic methods, game playing, theorem proving and the use of logic for problem solving. Introduction to Prolog and problem solving using Prolog. Knowledge representation. Semantic networks, logic representations, frames, deductive systems and knowledge systems. Planning, machine learning and natural language processing.",NTUA,AI and Business Analytics
33,Software Engineering,"Software systems, software life-cycle models, methodologies for developing software systems, software requirements, software design, software coding, testing, verification and validation, project management, cost analysis, quality assurance, model management, software development environments and software standards. Use of object oriented programming techniques and design patterns, design and development of software systems using the UML modeling language. Lab: Specification, design and implementation of a software application using standardized modeling techniques.",NTUA,Software Engineering Fundamentals
34,Advanced Algorithms,"Optimization problems, convexity and optimization. Linear programming, geometry, basic feasible solutions, Simplex, duality, complementary slackness conditions. Max flow, min cut, min cost flow. Randomized algorithms, max cut, Chernoff-Hoeffding bounds, applications to load balancing and random sampling. Approximation algorithms, basic techniques, LP-based approximation algorithms, randomized rounding, the primal-dual method, inapproximability, approximation preserving reductions. Online algorithms, paging, scheduling and load balancing problems, network design problems. Algorithmic game theory, Nash equilibrium, price of anarchy, congestion games, stable matchings, mechanism design.",NTUA,Advanced Algorithms & Computational Complexity
35,Compilers,"Introduction: compilers and related tools, compilation phases, organization of a compiler. Formal languages: notations, automata, grammars. Scanning: tokens, design of the scanner. Parsing: design of a bottom-up and top-down parser. Symbol tables. Semantic analysis: type systems and checking. Intermediate code generation: forms of intermediate code, syntax directed translation. Final code generation: the target machine, memory management and activation records, simple final code generation, instruction selection, register allocation. Code optimization. Tools for automatic compiler generation: lex/flex, yacc/bison, meta-compilers. Lab: design and implementation of a compiler for a hypothetical programming language.",NTUA,Compilers & Computational Electromagnetics
36,Computability and Complexity,"Computability: Logical foundation of computer science, historical overview about the problem of decidability of mathematical propositions, solvability or computability of problems with an effective, i.e. algorithmic, way. Simple equivalent computational models: Turing machines, WHILE programs. Induction and recursion, encodings and semantics. Fix-point theory. Arithmetical hierarchy.
Complexity: Relations among complexity classes. Reductions and completeness. Oracles. Polynomial hierarchy. Probabilistic, interactive and counting classes. Advanced topics of formal grammar theory. Applications to the syntax of programming languages.",NTUA,Theory of Computation & Human-Centric Systems
37,"Installation, Administration and Quality Control of Medical and Hospital Systems","The course includes an introduction to biomedical technology managing systems and quality control. Installation of high technology medical equipment, electrical grounding of hospitals. Prevention of hazards due to electrostatic discharges, installation of electrical discharging systems in operating theatres and intensive care units. Installation of disinfecting and sterilization systems, installation of medical gases' systems.",NTUA,Embedded and Control Systems
38,Internet Programming,"The course of Internet Programming covers the following topics:

Presentation of the state-of-the-art of Internet technologies, with emphasis to the structure and operation of TCP/IP protocol as well as datagrams και socket oriented communications.
Structure attributes of the HTTP communications protocol, including HTML programming language on the web, programming of HTTP servers, HTML-based applications development of dynamic web pages CGI scripts coded in PERL language.
State-of-the-art Web Applications, with emphasis to security issues and the future of Internet.
Introduction in Java, covers differences between Java and C++, advantages of Java language, Java structures and programming Java in Unix environments.
Object oriented programming: classes, objects, messages, methods, constructors, access control and overloading. Basic classes and packages, vectors και hash tables, inheritance, polymorphism, variables and methods, abstract basic classes.
Object Oriented Programming code and interfaces design covers execution type recognition, class objects, nested classes, packages, exceptions, error handling, threads, concurrency, synchronization. Input/output and net classes, sockets, streams, tokenizing, client/server, URLs. Abstract window toolkit (AWT), component/container, graphics, applets, fonts, colors, widgets, layout, text, event handling, windows, menus, images, beans.
Advanced topics on: security, verification, native methods, garbage collection, images and sounds.",NTUA,Programming Languages & Web Technologies
39,Knowledge Systems and Technologies,"The main objective of this module is to introduce students to the fundamentals of knowledge systems and technologies. In particular, based on the framework of Description Logics, methodologies for object-oriented knowledge representation, management, evolution, as well as automated reasoning and semantic data integration algorithms are described. Moreover, emphasis is given to the analysis of W3C standards for semantic data and knowledge representation (XML, RDF, OWL etc), ontology engineering and applications of knowledge-based systems and intelligent web services.",NTUA,Data Mining and Information Extraction
142,Java 2: Advanced Java and Eco-Efficient Design,"Deep dive into multithreading, memory management, and eco-efficient coding practices. Students will optimize Java applications for performance and energy efficiency.",NTUA,Object Oriented Programming
40,Queuing Systems,"The course aims at introducing students to methodologies in modeling and performance evaluation for Internet based communication networks and computer systems. The emphasis is on the analysis of such systems as simple queuing models, complemented by simulation techniques. Yearly updated On-line Lectures (synchronized video/audio and transparencies) are accessed via the Network Management & Optimal Design Laboratory (NETMODE) web site - www.netmode.ece.ntua.gr. Topics covered include:

Overview of probability theory with emphasis on memoryless probability distributions (Poisson and exponential distributions)
Definitions of Markov stochastic processes, ergodicity
Definitions and basic models of queuing systems. Arrival& departure processes, state definition, steady-state behavior, steady-state probabilities, utilization, average queue size and delay, Little’s formula, throughput, blocking probability
Birth – death processes and applications in simple Markov queuing systems. M/M/1, M/M/1/K, M/M/N, M/M/N/N, state dependent queues
Open and closed networks of queues. Product form state probabilities, Burke’s theorem, Jackson’s theorem, Gordon/Newell theorem, Buzen’s algorithm
Introduction to M/G/1 queues, Pollaczeck–Khinchin formulae
Applications in performance evaluation of data networks, telephone networks and computer systems",NTUA,Operating Systems
41,Advanced Topics in Database Systems,"Database Management Systems Coordination and Restore. Distributed databases and their operating problems. New standard SQL-3. Database Engines. Advanced database systems and applications (object-oriented, temporal, active, spatial databases, database repositories). Correlation of mathematical logic and databases (inductive databases).",NTUA,Distributed Systems
42,Analysis and Design of Information Systems,"The first part of the course covers the basic definitions and classifications for Information Systems and presents extended examples and elements of Management and Decision Sciences. In addition, the topics of (social) Implications and Quality of Information Systems (IS) are covered. The second part of the course presents technological issues of IS - with emphasis on Architectures (client-server, distributed systems, web-based, etc.), Software Systems and Data Base Management Systems. In the third part, which constitutes the kernel of the course, the methodologies and techniques for developing Information Systems are examined in depth. Methodologies for analysis and design, object-based methodologies, platforms and tools for development are analyzed and are used in the laboratory. Finally, the fourth part of the course deals with important operational topics (re-engineering, BPR, benchmarking, management of IS, etc) which are examined with the help of real case studies.",NTUA,Embedded and Control Systems
43,Computational Cryptography,"Classical cryptography: Substitution cryptosystems, Caesar, Vigenere, cryptanalysis methods. Perfect secrecy (Shannon), one-time pad. Semantic security, CPA, CCA, PCPA. Symmetric cryptography. Pseudorandomness, stream cryptosystems. Block cryptosystems: Feistel circuits, DES, AES, operation modes. Message authentication codes (MACs). Hash functions, salt, Merkle trees.
Elements of number theory: divisibility, residue arithmetic, quadratic residues, Chinese remainder theorem. Elements of group theory: groups, rings, Legendre theorem. Euler's φ function. Prime number tests. Public key cryptography. RSA and Rabin cryptosystems, relation to factoring problem. The discrete logarithm problem, ElGamal cryptosystem. Diffie-Hellman key exchange. Digital signatures: RSA, DSS, blind signatures. Cryptographic protocols: secret sharing, zero knowledge proofs, identification. Elements of complexity theory: one-way functions. Applications: encrypted communications, electronic voting, attacks, crypto-currencies (bitcoin).
The course contains (in addition to exercises) a project with a written report and presentation.",NTUA,Cryptography Systems
44,Programming Languages II,Theory issues. The course examines the theoretical foundations of the main programming language paradigms: imperative,NTUA,Programming Languages & Web Technologies
45,Digital Communications I,"Introduction. Digital signal processing in telecommunications. Simulation of analog modulation. Optimal digital recognition. Custom filters. Spectral characteristics of digital waveforms. Nyquist filter formatting. QAM and PSK Digital Modulation. FSK and MSK digital modulation. Channel performance, theoretical limits and practical approaches. Specific topics and examples of modern digital communication systems. DMT and OFDM modulation. DSL and DVB-T Digital Television Transmission Systems. During the semester there will be eight three-hour lab exercises on the subject using software tools such as MATLAB.",NTUA,Digital & Satellite Communication
46,Computer Networks,"This course covers the technologies and protocols used in the Internet, starting with the fundamental underlying transmission technologies and protocols. The design principles of Internet protocols, including the Internet Protocol (IP), Address Resolution Protocol (ARP), Internet Control Message Protocol (ICMP), User Datagram Protocol (UDP) and Transmission Control Protocol (TCP), the Domain Name System (DNS), routing protocols (RIP, OSPF, BGP), and application-level protocols (FTP, TFTP, TELENET, SSH, HTTP, HTTPS, DNS, DHCP, SMTP) are explored. A set of laboratory exercises provide hands-on experience so as the students comprehend the operation of Internet Protocols, by capturing and analyzing traffic generated in IP networks.",NTUA,Computer Interaction and Vision Theory
47,Telephony,"This course has two aspects: the traffic theoretic and the technological one. The technological part covers the basic telephony transmission and switching systems, starting with the description the basic design of telephone sets, historical analog exchanges and in-band signaling systems, local loops and transmission systems like ADSL, PCM (E1/T1), SDH/SONET. Digital exchanges and the underlying technologies for time vs. space division multiplexing in switching matrices and call processing are explored. Introduction to digital telephony systems, i.e. ISDN, the Intelligent Network, and the Common Channel Signaling System No. 7, Voice over IP (VoIP), SIP and H.323 based systems. The theoretical part covers the basic telephony traffic engineering, basic concepts of telephone traffic and congestion metrics (blocking probability, queuing delay, etc), network dimensioning principles (Moe's method). Congestion measures are derived for the typical telephone systems, lost call cleared systems (Erlang-B and Engset formulas) and delay systems (Erlang-C formula). Discussion on the routing principles and their consequences to the statistical description of traffic (overflow traffic, smoothed and peaked traffic). Introduction to the equivalent random traffic method for the engineering of such complex systems.",NTUA,Telecommunications
48,Multimedia Communication,"Basic principles of television. Color television. Colorimetric data. Color TV systems and standards [NTSC, PAL, SECAM]. Digital Encoding / Compression of Images and Videos. Encoding / compression algorithms. JPEG, H.261, MPEG standards. Digital Television Broadcasting. The ATSC and DVB standards for Digital Television. Ground, satellite, cable transmission systems. Interactive television and multimedia communication. Network and Service Architecture for Interactive Television. Access networks. IPTV, MHP. Television and multimedia services over the Internet. Applications. During the semester four laboratory exercises will be conducted on the subject.",NTUA,Multimedia Structures
149,AI 1: Introduction to AI with Environmental Applications,"Explore AI fundamentals using examples from wildlife tracking, energy forecasting, and ecological modeling.",NTUA,Ethical AI & Sustainable Automation
49,Computer Network Security,"Introduction, computer network architectures, attacks to networks, security services and mechanisms. Cryptographic tools, user authentication, access control, malware, denial of service attacks, intrusion detection, firewalls, attack prevention mechanisms. Symmetric encryption, Data Encryption Standard (DES), Advanced Encryption Standard (AES), multiple encryption, asymmetric algorithms, public key cryptography, RSA. Data integrity, hash functions, Secure Hash Algorithm (SHA), message authentication code (MAC), digital signatures. Authentication, Kerberos, X.509 standard, Public Key Infrastructure (PKI). Internet security, Secure Sockets Layer (SSL), Transport Layer Security (TLS), HTTPS, SSH. Wireless network security, IEEE 802.11i, transport layer security. E-mail security, Pretty Good Privacy (PGP), Secure Multipurpose Internet Mail Extensions (S/MIME), DomainKeys Identified Mail (DKIM). Laboratory exercises on encryption algorithms, vulnerability and intrusion detection, firewalls.",NTUA,Telecommunications
50,Mobile and Personal Communication Networks,"Mobile and personal communications, Wireless mobile and personal communication systems, Design issues, Impact of mobility on communication networks, 3G and 4G mobile communication systems. The wireless environment in mobile communications, Path loss, Fading, Radio channel attributes. Cellular systems, cellular architecture, Frequency reuse, Traffic engineering, Spectrum efficiency, capacity of CDMA cellular systems. Interference in the wireless environment of mobile communications, Capacity improvement in cellular systems. Radio resource allocation techniques in cellular systems, Channel assignment, Multiple access techniques. Architecture of cellular systems, Support of user mobility, Cellular networking. Transmission techniques in mobile networks, Encryption, Modulation. Radio resource management, Handover. Mobility management, Location management, Location update, Security management, Mobility models. Communication management, Call control, Interrogation, Paging, Supplementary services, message transmission in mobile networks. Location based services in mobile networks, methods for mobile terminal positioning.",NTUA,Mobile & Wireless Communication Systems
51,Telecommunication Systems Simulation,"Understand the principles of the operation of computer networks and network protocols used in the Internet. Series of twelve simulation exercises, in a virtual laboratory environment, including the configuration of networked devices (routers, firewalls, servers, PCs) interconnected in a variety of topologies Experimentation with typical static and dynamic routing, protocols, RIP, OSPF, BGP, basic network services, DHCP, DNS, NAT and Firewalls. In depth study of the IPv6 protocol and its interoperability with IPv4.",NTUA,Simulations in Telecommunication Systems
